Acc	AttrName	AttrVal
SAMN08934041	disease	Normal
SAMN08934040	disease	Normal
SAMN08934039	disease	Normal
SAMN08934018	disease	Normal
SAMN08933976	disease	Normal
SAMN08933975	disease	Normal
SAMN08933974	disease	Normal
SAMN08933973	disease	Normal
SAMN08933972	disease	Normal
SAMN08933971	disease	Normal
SAMN08933970	disease	Normal
SAMN08933969	disease	Normal
SAMN08933968	disease	Normal
SAMN08933967	disease	Normal
SAMN08933966	disease	Normal
SAMN08933965	disease	Normal
SAMN08933964	disease	Normal
SAMN08933963	disease	Normal
SAMN08933962	disease	Normal
SAMN08933961	disease	Normal
SAMN08933960	disease	Normal
SAMN08933959	disease	Normal
SAMN08933958	disease	Normal
SAMN08933957	disease	Normal
SAMN08933956	disease	Normal
SAMN08933955	disease	Normal
SAMN08933954	disease	Normal
SAMN08933953	disease	Normal
SAMN08933952	disease	Normal
SAMN08933951	disease	Normal
SAMN08933950	disease	Normal
SAMN08933949	disease	Normal
SAMN08933948	disease	Normal
SAMN08933947	disease	Normal
SAMN08933946	disease	Type 2 Diabetes
SAMN08933945	disease	Normal
SAMN08933944	disease	Normal
SAMN08933943	disease	Normal
SAMN08933942	disease	Normal
SAMN08933941	disease	Normal
SAMN08933940	disease	Normal
SAMN08933939	disease	Normal
SAMN08933938	disease	Normal
SAMN08933937	disease	Normal
SAMN08933936	disease	Normal
SAMN08933935	disease	Normal
SAMN08933934	disease	Normal
SAMN08933933	disease	Normal
SAMN08933932	disease	Normal
SAMN08933875	disease	Normal
SAMN08933874	disease	Normal
SAMN08933873	disease	Normal
SAMN08933872	disease	Normal
SAMN08933871	disease	Normal
SAMN08933870	disease	Normal
SAMN08933869	disease	Normal
SAMN08933868	disease	Normal
SAMN08933867	disease	Normal
SAMN08933866	disease	Normal
SAMN08933865	disease	Normal
SAMN08933864	disease	Normal
SAMN08933863	disease	Normal
SAMN08933862	disease	Normal
SAMN08933861	disease	Normal
SAMN08933860	disease	Normal
SAMN08933859	disease	Normal
SAMN08933858	disease	Normal
SAMN08933857	disease	Normal
SAMN08933856	disease	Normal
SAMN08933855	disease	Normal
SAMN08933854	disease	Normal
SAMN08933853	disease	Normal
SAMN08933852	disease	Normal
SAMN08933851	disease	Normal
SAMN08933850	disease	Normal
SAMN08933849	disease	Normal
SAMN08933848	disease	Normal
SAMN08933830	disease	Normal
SAMN08933829	disease	Normal
SAMN08933828	disease	Normal
SAMN08933827	disease	Normal
SAMN08933826	disease	Normal
SAMN08933825	disease	Normal
SAMN08933824	disease	Normal
SAMN08933823	disease	Normal
SAMN08933822	disease	Normal
SAMN08933821	disease	Normal
SAMN08933820	disease	Normal
SAMN08933819	disease	Normal
SAMD00084298	disease	lung adenocarcinoma
SAMD00084297	disease	lung adenocarcinoma
SAMD00084296	disease	lung adenocarcinoma
SAMD00084295	disease	lung adenocarcinoma
SAMD00084294	disease	lung adenocarcinoma
SAMD00084293	disease	lung adenocarcinoma
SAMD00084292	disease	lung adenocarcinoma
SAMD00084291	disease	lung adenocarcinoma
SAMD00084290	disease	lung adenocarcinoma
SAMD00084289	disease	lung adenocarcinoma
SAMD00084288	disease	lung adenocarcinoma
SAMD00065375	disease	Cancer
SAMD00065374	disease	Cancer
SAMD00065373	disease	Cancer
SAMD00065372	disease	Cancer
SAMD00083337	disease	Normal
SAMD00083336	disease	lung adenocarcinoma
SAMD00083335	disease	lung adenocarcinoma
SAMD00083334	disease	lung adenocarcinoma
SAMD00083333	disease	lung adenocarcinoma
SAMD00083332	disease	lung adenocarcinoma
SAMD00083331	disease	lung adenocarcinoma
SAMD00083330	disease	lung adenocarcinoma
SAMD00083329	disease	lung adenocarcinoma
SAMD00083328	disease	lung adenocarcinoma
SAMD00083327	disease	lung adenocarcinoma
SAMD00083326	disease	lung adenocarcinoma
SAMD00083325	disease	lung adenocarcinoma
SAMD00083324	disease	lung adenocarcinoma
SAMD00083323	disease	lung adenocarcinoma
SAMD00083322	disease	lung adenocarcinoma
SAMD00083321	disease	lung adenocarcinoma
SAMD00083320	disease	lung adenocarcinoma
SAMD00083319	disease	lung adenocarcinoma
SAMD00083318	disease	lung adenocarcinoma
SAMD00083317	disease	lung adenocarcinoma
SAMD00083316	disease	lung adenocarcinoma
SAMD00083315	disease	lung adenocarcinoma
SAMD00083314	disease	lung adenocarcinoma
SAMD00083313	disease	lung adenocarcinoma
SAMD00083312	disease	lung adenocarcinoma
SAMD00083311	disease	lung adenocarcinoma
SAMD00053893	disease	lymphoma
SAMD00053892	disease	lymphoma
SAMD00035594	disease	acute myeloid leukemia (FAB M5)
SAMD00035593	disease	missing
SAMD00035592	disease	missing
SAMD00035591	disease	missing
SAMD00079776	disease	lung adenocarcinoma
SAMD00079775	disease	lung adenocarcinoma
SAMD00079774	disease	lung adenocarcinoma
SAMD00079773	disease	lung adenocarcinoma
SAMD00079772	disease	lung adenocarcinoma
SAMD00050930	disease	lung adenocarcinoma
SAMD00050929	disease	lung adenocarcinoma
SAMD00050928	disease	lung adenocarcinoma
SAMD00050927	disease	lung adenocarcinoma
SAMD00050926	disease	lung adenocarcinoma
SAMD00050925	disease	lung adenocarcinoma
SAMD00050924	disease	lung adenocarcinoma
SAMD00050923	disease	lung adenocarcinoma
SAMD00029378	disease	myelodysplastic syndromes
SAMD00029377	disease	myelodysplastic syndromes
SAMD00029376	disease	myelodysplastic syndromes
SAMD00029375	disease	leukemia
SAMD00029374	disease	leukemia
SAMD00029373	disease	leukemia
SAMD00029372	disease	leukemia
SAMD00029371	disease	leukemia
SAMD00029370	disease	leukemia
SAMD00029369	disease	leukemia
SAMD00073680	disease	neoplastic, esophageal squamous cell carcinoma
SAMD00073678	disease	non-neoplastic
SAMD00073681	disease	neoplastic, esophageal squamous cell carcinoma
SAMD00073679	disease	neoplastic, esophageal squamous cell carcinoma
SAMD00031615	disease	Lung adenocarcinoma
SAMD00031614	disease	Normal
SAMD00031613	disease	Lung adenocarcinoma
SAMD00031612	disease	Lung adenocarcinoma
SAMD00031611	disease	Lung adenocarcinoma
SAMD00031610	disease	Lung adenocarcinoma
SAMD00031609	disease	Lung adenocarcinoma
SAMD00031608	disease	Lung adenocarcinoma
SAMD00031607	disease	Lung adenocarcinoma
SAMD00031606	disease	Lung adenocarcinoma
SAMD00031605	disease	Lung adenocarcinoma
SAMD00031604	disease	Lung adenocarcinoma
SAMD00031603	disease	Lung adenocarcinoma
SAMD00031602	disease	Lung adenocarcinoma
SAMD00031601	disease	Lung adenocarcinoma
SAMD00031600	disease	Lung adenocarcinoma
SAMD00031599	disease	Lung adenocarcinoma
SAMD00031598	disease	Lung adenocarcinoma
SAMD00031597	disease	Lung adenocarcinoma
SAMD00031596	disease	Lung adenocarcinoma
SAMD00031595	disease	Lung adenocarcinoma
SAMD00031594	disease	Lung adenocarcinoma
SAMD00031593	disease	Lung adenocarcinoma
SAMD00031592	disease	Lung adenocarcinoma
SAMD00031591	disease	Lung adenocarcinoma
SAMD00031590	disease	Lung adenocarcinoma
SAMD00031589	disease	Lung adenocarcinoma
SAMD00053718	disease	lymphoma
SAMD00053717	disease	lymphoma
SAMD00053716	disease	lymphoma
SAMD00053715	disease	lymphoma
SAMD00053714	disease	lymphoma
SAMD00053713	disease	lymphoma
SAMD00053712	disease	lymphoma
SAMD00053711	disease	lymphoma
SAMD00044427	disease	multiple myeloma
SAMD00044426	disease	multiple myeloma
SAMN08931180	disease	Burkitt's lymphoma
SAMN08931179	disease	Burkitt's lymphoma
SAMN08931178	disease	Burkitt's lymphoma
SAMN08930936	disease	Normal
SAMEA4555865	disease	Adamantinomatous Craniopharyngioma
SAMEA4555864	disease	Adamantinomatous Craniopharyngioma
SAMEA4555863	disease	Adamantinomatous Craniopharyngioma
SAMEA4555862	disease	Adamantinomatous Craniopharyngioma
SAMEA4555861	disease	Adamantinomatous Craniopharyngioma
SAMEA4555860	disease	Adamantinomatous Craniopharyngioma
SAMEA4555859	disease	Adamantinomatous Craniopharyngioma
SAMEA4555858	disease	none
SAMEA4555857	disease	none
SAMEA4555856	disease	none
SAMEA4555855	disease	Adamantinomatous Craniopharyngioma
SAMEA4555854	disease	Adamantinomatous Craniopharyngioma
SAMEA4555853	disease	Adamantinomatous Craniopharyngioma
SAMEA4555852	disease	Adamantinomatous Craniopharyngioma
SAMEA4555851	disease	Adamantinomatous Craniopharyngioma
SAMEA4555850	disease	Pituitary Gland Adenoma
SAMEA4555849	disease	Pituitary Gland Adenoma
SAMEA4555848	disease	Pituitary Gland Adenoma
SAMEA4555847	disease	Adamantinomatous Craniopharyngioma
SAMEA4555846	disease	Adamantinomatous Craniopharyngioma
SAMEA4555845	disease	Adamantinomatous Craniopharyngioma
SAMEA4555844	disease	Adamantinomatous Craniopharyngioma
SAMEA4555843	disease	Adamantinomatous Craniopharyngioma
SAMEA4555842	disease	Adamantinomatous Craniopharyngioma
SAMEA4555838	disease	adamantinomatous craniopharyngioma
SAMEA4555837	disease	adamantinomatous craniopharyngioma
SAMEA4555836	disease	adamantinomatous craniopharyngioma
SAMEA4555835	disease	adamantinomatous craniopharyngioma
SAMEA4555834	disease	adamantinomatous craniopharyngioma
SAMEA4555833	disease	adamantinomatous craniopharyngioma
SAMEA4555832	disease	adamantinomatous craniopharyngioma
SAMEA4555831	disease	adamantinomatous craniopharyngioma
SAMN06602648	disease	cancer
SAMN08930811	disease	Type 2 Diabetes
SAMN08930762	disease	Normal
SAMN08930761	disease	Normal
SAMN08930760	disease	Normal
SAMN08930759	disease	Normal
SAMN08930758	disease	Normal
SAMN08930757	disease	Normal
SAMN08930716	disease	Normal
SAMN08930715	disease	Normal
SAMN08930714	disease	Normal
SAMN08930713	disease	Normal
SAMN08930712	disease	Normal
SAMN08930711	disease	Normal
SAMN08930710	disease	Normal
SAMN08930709	disease	Normal
SAMN08930708	disease	Normal
SAMN08930707	disease	Normal
SAMN08930706	disease	Normal
SAMN08930705	disease	Normal
SAMN08930704	disease	Normal
SAMN08930703	disease	Normal
SAMN08930702	disease	Normal
SAMN08930701	disease	Normal
SAMN08930700	disease	Normal
SAMN08930699	disease	Normal
SAMN08930698	disease	Normal
SAMN08930697	disease	Normal
SAMN08930696	disease	Normal
SAMN08930666	disease	Normal
SAMN08930665	disease	Normal
SAMN08930664	disease	Normal
SAMN08930584	disease	Normal
SAMN08930583	disease	Normal
SAMN08930582	disease	Normal
SAMN08930581	disease	Normal
SAMN08930580	disease	Normal
SAMN08930579	disease	Normal
SAMN08930578	disease	Normal
SAMN08930577	disease	Normal
SAMN08930576	disease	Normal
SAMN08930575	disease	Normal
SAMN08930574	disease	Normal
SAMN08930573	disease	Normal
SAMN08930572	disease	Normal
SAMN08930571	disease	Normal
SAMN08930564	disease	Normal
SAMN08930562	disease	Normal
SAMN08930561	disease	Normal
SAMN08930557	disease	Normal
SAMN08930553	disease	Normal
SAMN08930551	disease	Normal
SAMN08930549	disease	Normal
SAMN08930546	disease	Normal
SAMN08930544	disease	Normal
SAMN08930543	disease	Normal
SAMN08930541	disease	Normal
SAMN08930539	disease	Normal
SAMN08930537	disease	Normal
SAMN08930534	disease	Normal
SAMN08930532	disease	Normal
SAMN08930530	disease	Normal
SAMN08930528	disease	Normal
SAMN08930526	disease	Normal
SAMN08930524	disease	Normal
SAMN08930522	disease	Normal
SAMN08930520	disease	Normal
SAMN08930519	disease	Normal
SAMN08930518	disease	Normal
SAMN08930517	disease	Normal
SAMN08930516	disease	Normal
SAMN08930515	disease	Normal
SAMN08930514	disease	Normal
SAMN08930513	disease	Normal
SAMN08930512	disease	Normal
SAMN08930511	disease	Normal
SAMN08930510	disease	Normal
SAMN08930509	disease	Normal
SAMN08930508	disease	Normal
SAMN08930507	disease	Normal
SAMN08930506	disease	Normal
SAMN08930505	disease	Normal
SAMN08930504	disease	Normal
SAMN08930503	disease	Normal
SAMN08930502	disease	Normal
SAMN08930501	disease	Normal
SAMN08930500	disease	Normal
SAMN08930499	disease	Normal
SAMN08930498	disease	Normal
SAMN08930122	disease	Normal
SAMN08930121	disease	Normal
SAMN08930120	disease	Normal
SAMN08930119	disease	Normal
SAMN08930118	disease	Normal
SAMN08930117	disease	Normal
SAMN08930116	disease	Normal
SAMN08930115	disease	Normal
SAMN08930114	disease	Normal
SAMN08930113	disease	Normal
SAMN08930112	disease	Normal
SAMN08930111	disease	Normal
SAMN08930110	disease	Normal
SAMN08930109	disease	Normal
SAMN08930108	disease	Normal
SAMN08930107	disease	Normal
SAMN08930106	disease	Normal
SAMN08930105	disease	Normal
SAMN08930104	disease	Normal
SAMN08930103	disease	Normal
SAMN08930102	disease	Normal
SAMN08930101	disease	Normal
SAMN08930100	disease	Normal
SAMN08930099	disease	Normal
SAMN08930098	disease	Normal
SAMN08930097	disease	Normal
SAMN08930096	disease	Normal
SAMN08930095	disease	Normal
SAMN08930094	disease	Normal
SAMN08930093	disease	Normal
SAMN08930092	disease	Normal
SAMN08930091	disease	Normal
SAMN08930090	disease	Normal
SAMN08930089	disease	Normal
SAMN08930088	disease	Normal
SAMN08930087	disease	Normal
SAMN08930086	disease	Normal
SAMN08930085	disease	Normal
SAMN08930084	disease	Normal
SAMN08930083	disease	Normal
SAMN08930082	disease	Normal
SAMN08930081	disease	Normal
SAMN08930080	disease	Normal
SAMN08930079	disease	Normal
SAMN08930078	disease	Normal
SAMN08930077	disease	Normal
SAMN08930076	disease	Normal
SAMN08930075	disease	Normal
SAMN08930074	disease	Normal
SAMN08930073	disease	Normal
SAMN08930072	disease	Normal
SAMN08930071	disease	Normal
SAMN08930070	disease	Normal
SAMN08930069	disease	Normal
SAMN08930068	disease	Normal
SAMN08930067	disease	Normal
SAMN08930066	disease	Normal
SAMN08930065	disease	Normal
SAMN08930064	disease	Normal
SAMN08930063	disease	Normal
SAMN08930062	disease	Normal
SAMN08930053	disease	Normal
SAMN08930052	disease	Normal
SAMN08930051	disease	Normal
SAMN08930050	disease	Normal
SAMN08930049	disease	Normal
SAMN08930048	disease	Normal
SAMN08930047	disease	Normal
SAMN08930046	disease	Normal
SAMN08930045	disease	Normal
SAMN08930044	disease	Normal
SAMN08930043	disease	Normal
SAMN08930042	disease	Normal
SAMN08930041	disease	Normal
SAMN08930040	disease	Normal
SAMN08781890	disease	not reported
SAMN08781889	disease	not reported
SAMN08781888	disease	not reported
SAMN08781887	disease	not reported
SAMN08781886	disease	not reported
SAMN08781885	disease	not reported
SAMN08781884	disease	not reported
SAMN08781883	disease	not reported
SAMN08781882	disease	not reported
SAMN08781881	disease	not reported
SAMN08781880	disease	not reported
SAMN08781879	disease	not reported
SAMN08781878	disease	not reported
SAMN08781877	disease	not reported
SAMN08781876	disease	not reported
SAMN08781875	disease	not reported
SAMN08781874	disease	not reported
SAMN08781873	disease	not reported
SAMN08781872	disease	not reported
SAMN08781871	disease	not reported
SAMN08781870	disease	not reported
SAMN08781869	disease	not reported
SAMN08781868	disease	not reported
SAMN08781867	disease	not reported
SAMN08781866	disease	not reported
SAMN08781865	disease	not reported
SAMN08781864	disease	not reported
SAMN08781863	disease	not reported
SAMN08781862	disease	not reported
SAMN08781861	disease	not reported
SAMN08781860	disease	not reported
SAMN08781859	disease	not reported
SAMN08781858	disease	not reported
SAMN08781857	disease	not reported
SAMN08781856	disease	not reported
SAMN08781855	disease	not reported
SAMN08781854	disease	not reported
SAMN08912443	disease	Normal
SAMN08905684	disease	Merkel cell carcinoma
SAMN08905683	disease	Merkel cell carcinoma
SAMN08905682	disease	Merkel cell carcinoma
SAMN08905681	disease	Merkel cell carcinoma
SAMN08905680	disease	Merkel cell carcinoma
SAMN08905679	disease	Merkel cell carcinoma
SAMN08905678	disease	B-ALL NOS
SAMN08905677	disease	Acute myelomonocytic leukemia
SAMN08905676	disease	B-ALL
SAMN08905675	disease	B-ALL NOS
SAMN08905674	disease	AML
SAMN08905673	disease	AML
SAMN08905672	disease	B-ALL with t(12;21) TEL-AML1 (ETV6-RUNX1)
SAMN08905671	disease	AML with recurrent gene mutations
SAMN08905670	disease	AML with recurrent gene mutations
SAMN08905669	disease	AML
SAMN08905668	disease	Acute myelomonocytic leukemia
SAMN08905667	disease	AML with recurrent gene mutations
SAMN08905666	disease	AML with MDS-related changes
SAMN08905665	disease	B-ALL with t(12;21) TEL-AML1 (ETV6-RUNX1)
SAMN08905664	disease	B-ALL NOS
SAMN08905663	disease	B-ALL NOS
SAMN08905662	disease	B-ALL with t(9;22) BCR-ABL
SAMN08905661	disease	B-ALL with t(9;22) BCR-ABL
SAMN08905660	disease	AML with MDS-related changes
SAMN08905659	disease	AML with inv(3)(q21q26.2) RPN1-EVI1
SAMN08905658	disease	B-ALL with t(9;22) BCR-ABL
SAMN08905657	disease	B-cell lymphoma, unclassifiable, with features intermediate between DLBCL and BL
SAMN08905656	disease	DLBCL NOS
SAMN08905655	disease	B-ALL with t(9;22) BCR-ABL
SAMN08905654	disease	B-ALL
SAMN08905653	disease	Acute myelomonocytic leukemia
SAMN08905652	disease	AML with recurrent gene mutations
SAMN08905651	disease	AML with recurrent gene mutations
SAMN08905650	disease	Burkitt lymphoma
SAMN08905649	disease	DLBCL NOS
SAMN08905648	disease	Primary cutaneous CD30+ T-cell lymphoproliferative disorder
SAMN08905647	disease	Follicular lymphoma
SAMN08905646	disease	AML with recurrent gene mutations
SAMN08905645	disease	Therapy-related AML
