Acc	AttrName	AttrVal	AttrValNorm
SAMN07709977	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709978	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709979	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709980	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709981	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709982	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709983	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709984	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709985	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709986	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709987	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709988	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709989	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07709990	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710033	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710034	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710035	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710036	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710037	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710038	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN07710039	disease	ADENOCARCINOMA	Adenocarcinoma
SAMN08475473	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475474	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475475	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475476	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475477	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475478	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475479	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475480	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475481	disease	ADHD	Attention deficit hyperactivity disorder
SAMN08475482	disease	ADHD	Attention deficit hyperactivity disorder
